Fecha de comienzo,Fecha de finalizaci—n ,Duraci—n [Mins],Location,Simultaneo?,Productivo?
21/10/21 8:00,21/10/21 8:30,30,Zoom,1,1
21/10/21 8:00,21/10/21 9:00,60,Zoom,1,0
21/10/21 9:30,21/10/21 10:00,30,Zoom,0,0
21/10/21 10:00,21/10/21 11:00,60,Zoom,0,1
21/10/21 11:00,21/10/21 12:30,90,Zoom,0,1
21/10/21 11:15,21/10/21 12:00,45,Zoom,0,0
21/10/21 16:00,21/10/21 19:30,210,Zoom,0,1
22/10/21 8:00,22/10/21 9:00,60,Zoom,0,1
22/10/21 9:00,22/10/21 9:15,15,Zoom,1,0
22/10/21 9:00,22/10/21 9:30,30,Zoom,1,0
22/10/21 9:00,22/10/21 10:30,90,Zoom,1,1
22/10/21 11:00,22/10/21 11:30,30,Zoom,0,1
22/10/21 11:15,22/10/21 11:45,30,Zoom,0,0
22/10/21 12:30,22/10/21 13:00,30,Zoom,0,1
25/10/21 8:00,25/10/21 9:00,60,Zoom,0,0
25/10/21 8:30,25/10/21 9:00,30,Zoom,0,1
25/10/21 9:00,25/10/21 10:00,60,Zoom,1,0
25/10/21 9:00,25/10/21 9:15,15,Zoom,1,1
25/10/21 10:00,25/10/21 10:45,45,Zoom,1,0
25/10/21 10:00,25/10/21 11:00,60,Zoom,1,0
25/10/21 11:00,25/10/21 11:30,30,Zoom,0,0
25/10/21 11:30,25/10/21 12:00,30,Zoom,0,1
25/10/21 12:00,25/10/21 12:30,30,Zoom,0,1
25/10/21 12:30,25/10/21 15:25,175,Zoom,0,1
25/10/21 14:30,25/10/21 15:00,30,Zoom,0,0
25/10/21 17:30,25/10/21 18:00,30,Zoom,0,1
25/10/21 21:30,25/10/21 22:00,30,Zoom,0,0
26/10/21 8:00,26/10/21 9:00,60,Zoom,0,0
26/10/21 8:30,26/10/21 9:00,30,Zoom,0,1
26/10/21 9:30,26/10/21 10:30,60,Zoom,0,0
26/10/21 10:30,26/10/21 11:30,60,Zoom,0,1
26/10/21 11:15,26/10/21 11:45,30,Zoom,1,0
26/10/21 11:15,26/10/21 11:45,30,Zoom,1,0
26/10/21 11:30,26/10/21 12:00,30,Zoom,0,1
26/10/21 13:30,26/10/21 15:00,90,Zoom,1,1
26/10/21 13:30,26/10/21 14:00,30,Zoom,1,0
26/10/21 14:00,26/10/21 14:30,30,Zoom,0,0
26/10/21 15:00,26/10/21 15:30,30,Zoom,0,0
26/10/21 15:30,26/10/21 16:00,30,Zoom,0,0
26/10/21 16:00,26/10/21 19:30,210,Zoom,0,1
27/10/21 7:30,27/10/21 8:00,30,Zoom,0,0
27/10/21 8:00,27/10/21 9:00,60,Zoom,0,0
27/10/21 8:30,27/10/21 9:00,30,Zoom,0,1
27/10/21 9:00,27/10/21 9:15,15,Zoom,0,0
27/10/21 9:30,27/10/21 10:30,60,Zoom,0,0
27/10/21 10:00,27/10/21 10:30,30,Zoom,1,1
27/10/21 10:00,27/10/21 11:00,60,Zoom,1,0
27/10/21 10:45,27/10/21 11:00,15,Zoom,0,0
27/10/21 11:00,27/10/21 13:00,120,Zoom,0,1
27/10/21 12:00,27/10/21 12:30,30,Zoom,0,0
27/10/21 13:00,27/10/21 14:15,75,Zoom,0,0
27/10/21 13:30,27/10/21 13:55,25,Zoom,0,1
27/10/21 14:00,27/10/21 14:30,30,Zoom,1,1
27/10/21 14:00,27/10/21 14:30,30,Zoom,1,0
27/10/21 14:15,27/10/21 15:00,45,Zoom,0,0
27/10/21 14:30,27/10/21 16:00,90,Zoom,0,1
27/10/21 17:00,27/10/21 18:00,60,Zoom,0,1
28/10/21 8:00,28/10/21 8:45,45,Zoom,1,1
28/10/21 8:00,28/10/21 9:00,60,Zoom,1,0
28/10/21 9:00,28/10/21 10:00,60,Zoom,0,1
28/10/21 9:30,28/10/21 10:00,30,Zoom,0,0
28/10/21 10:30,28/10/21 10:45,15,Zoom,0,1
28/10/21 11:00,28/10/21 11:45,45,Zoom,0,1
28/10/21 13:00,28/10/21 14:00,60,Zoom,0,1
28/10/21 14:30,28/10/21 15:45,75,Zoom,0,0
28/10/21 15:45,28/10/21 16:45,60,Zoom,0,0
28/10/21 16:00,28/10/21 19:30,210,Zoom,0,1
28/10/21 19:00,28/10/21 20:30,90,Zoom,0,1
29/10/21 8:00,29/10/21 9:00,60,Zoom,0,1
29/10/21 9:00,29/10/21 9:15,15,Zoom,0,0
29/10/21 9:30,29/10/21 10:00,30,Zoom,0,1
